GEMS Station Number;Local Station Number;Country Name;Water Type;Station Identifier;Station Narrative;Water Body Name;Main Basin;Upstream Basin Area;Elevation;Monitoring Type;Date Station Opened;Responsible Collection Agency;Latitude;Longitude;River Width;Discharge;Max. Depth;Lake Area;Lake Volume;Average Retention;Area of Aquifer;Depth of Impermeable Lining;Production Zone;Mean Abstraction Rate;Mean Abstraction Level
ARG00117;RHN03821;Argentina;River station;Los Laureles;;;LA PLATA;;34;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-29,757222;-59,217222;;;;;;;;;;;
ARG00118;RHN03856;Argentina;River station;Monte Caseros;;RIO URUGUAI, RIO URUGUAY;LA PLATA;;48;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-30,251666;-57,621666;;;;;;;;;;;
ARG00119;RHN03858;Argentina;River station;Caa Carai;;;LA PLATA;;78;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-27,824444;-56,258333;;;;;;;;;;;
ARG00120;RHN03860;Argentina;River station;Santo Tome;;RIO URUGUAI, RIO URUGUAY;LA PLATA;;52;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-28,545;-56,028888;;;;;;;;;;;
ARG00121;RHN03862;Argentina;River station;Itati;;RIO ALTO PARANA;LA PLATA;;49;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-27,266388;-58,244444;;;;;;;;;;;
ARG00122;RHN03864;Argentina;River station;San Carlos;;;LA PLATA;;195;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-27,7475;-55,891666;;;;;;;;;;;
ARG00123;RHN03885;Argentina;River station;Empedrado;;RIO ALTO PARANA;LA PLATA;;50;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-27,958805;-58,819944;;;;;;;;;;;
ARG00124;RHN04002;Argentina;River station;Brazo Largo;;;LA PLATA;;5;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-33,883055;-58,9;;;;;;;;;;;
ARG00125;RHN04050;Argentina;River station;Balneario;;;LA PLATA;;43;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-34,351944;-59,816944;;;;;;;;;;;
ARG00126;RHN04051;Argentina;River station;Club Pescadores;;;LA PLATA;;26;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-34,240555;-59,499444;;;;;;;;;;;
ARG00127;RHN04052;Argentina;River station;Puente Quemado;;;LA PLATA;;36;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-34,288055;-59,702777;;;;;;;;;;;
ARG00128;RHN04061;Argentina;River station;RN 226;;;;;95;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-36,371111;-60,955555;;;;;;;;;;;
ARG00129;RHN04063;Argentina;River station;RP 51;;;;;43;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-35,088055;-60,108888;;;;;;;;;;;
ARG00130;RHN04064;Argentina;River station;RP 41;;;;;17;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-35,726388;-58,536388;;;;;;;;;;;
ARG00131;RHN04066;Argentina;River station;RN 205;;;;;35;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-35,459444;-59,574722;;;;;;;;;;;
ARG00132;RHN04068;Argentina;River station;Av. De los Trabajadores;;;;;162;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-36,879166;-60,310833;;;;;;;;;;;
ARG00133;RHN04069;Argentina;River station;Seminario Diocesano;;;;;149;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-36,831111;-59,893888;;;;;;;;;;;
ARG00134;RHN04070;Argentina;River station;Las Cascadas;;;;;27;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-38,4625;-58,758888;;;;;;;;;;;
ARG00135;RHN04206;Argentina;River station;Tincunaco;;;;;651;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-32,903333;-64,716111;;;;;;;;;;;
ARG00136;RHN04208;Argentina;River station;Santa Rosa del Río Primero;;;MAR CHIQUITA;;171;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-31,15775;-63,394111;;;;;;;;;;;
ARG00137;RHN04209;Argentina;River station;Ume Pay;;;LA PLATA;;846;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-32,218333;-64,751388;;;;;;;;;;;
ARG00138;RHN04220;Argentina;River station;Villa del Rosario;;;MAR CHIQUITA;;246;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-31,542527;-63,537444;;;;;;;;;;;
ARG00139;RHN04223;Argentina;River station;Bel Ville;;;LA PLATA;;131;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-32,61423;-62,687263;;;;;;;;;;;
ARG00140;RHN04226;Argentina;River station;La Carlota Pte. Olmos;;;;;125;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-33,455747;-63,129377;;;;;;;;;;;
ARG00141;RHN04233;Argentina;River station;La Carlota;;;;;145;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-33,4075;-63,294166;;;;;;;;;;;
ARG00142;RHN04301;Argentina;River station;Piedras Moras;;;LA PLATA;;390;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-32,169444;-64,232777;;;;;;;;;;;
ARG00143;RHN04307;Argentina;River station;La Para;;;MAR CHIQUITA;;95;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-30,964166;-62,996111;;;;;;;;;;;
ARG00144;RHN04402;Argentina;River station;Puesto Hernandez;;;COLORADO (SOUTH ATLANTIC);;236;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-38,413611;-67,043055;;;;;;;;;;;
ARG00145;RHN04403;Argentina;River station;Santa Isabel;;;COLORADO (SOUTH ATLANTIC);;310;TREND;;Ministerio de Obras Públicas - Subsecretario de Planificación y Gestión Operativa de Proyectos Hídricos;-36,291111;-66,829166;;;;;;;;;;;
AUT00007;ATFW10000097;Austria;River station;ELTENDORF;;;DANUBE;;;TREND;;;46,9905;16,2124;;;;;;;;;;;
AUT00008;ATFW21500027;Austria;River station;KLEBLACH;;;DANUBE;;;TREND;;;46,7741;13,3459;;;;;;;;;;;
AUT00009;ATFW21520117;Austria;River station;GMÜND;;;DANUBE;;;TREND;;;46,9011;13,5306;;;;;;;;;;;
AUT00010;ATFW21530137;Austria;River station;EGG/HERMAGOR;;;DANUBE;;;TREND;;;46,6088;13,3884;;;;;;;;;;;
AUT00011;ATFW21550207;Austria;River station;MÖLBLING/BRUGGA;;;DANUBE;;;TREND;;;46,865;14,4379;;;;;;;;;;;
